,,,שנה קבלת אירוע,Total,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2017,2017,2017
מועצה  מקומית או עירייה או מועצה אזורית,נושא ארוע,סוג אירוע,רבעון קבלת אירוע,,Total,Q1,Q2,Q3,Q4,Total,Q1,Q2,Q3,Q4,Total,Q1,Q2
אליכין,סמים ואלכוהול,שכרות,,$,-,-,-,-,-,-,-,-,-,-,$,$,-
אלעד,Total,,,4705,1696,359,413,423,501,2202,392,601,598,611,807,514,293
אלעד,תנועה,Total,,1760,559,150,123,139,147,808,150,204,241,213,393,264,129
אלעד,תנועה,הסגת גבול - חניה פרטית,,254,-,-,-,-,-,147,-,50,45,52,107,71,36
אלעד,תנועה,חסימת מעבר,,1011,345,85,80,94,86,470,97,113,149,111,196,138,58
אלעד,תנועה,רכב חונה באיסור,,495,214,65,43,45,61,191,53,41,47,50,90,55,35
אלעד,איכות חיים,Total,,2343,897,149,233,230,285,1123,178,332,287,326,323,189,134
אלעד,איכות חיים,גרימת רעש מבית,,763,297,65,79,67,86,353,74,94,69,116,113,72,41
אלעד,איכות חיים,גרימת רעש מבית תפילה,,8,-,-,-,-,-,-,-,-,-,-,8,6,$
אלעד,איכות חיים,גרימת רעש ממקום ציבורי,,1492,564,68,146,158,192,738,100,227,206,205,190,101,89
אלעד,איכות חיים,גרימת רעש מעסק,,80,36,16,8,5,7,32,$,11,12,5,12,10,$
אלעד,סדר ציבורי,Total,,318,120,25,33,24,38,147,30,34,38,45,51,33,18
אלעד,סדר ציבורי,"אדם/חנ""ש/נרקומן משתולל",,318,120,25,33,24,38,147,30,34,38,45,51,33,18
אלעד,אלימות,Total,,245,109,29,23,29,28,106,27,27,31,21,30,21,9
אלעד,אלימות,סכסוך - שכנים,,104,-,-,-,-,-,74,-,22,31,21,30,21,9
אלעד,אלימות,סכסוך שכנים עסקי,,141,109,29,23,29,28,32,27,5,-,-,-,-,-
אלעד,סמים ואלכוהול,Total,,39,11,6,$,$,$,18,7,$,$,6,10,7,$
אלעד,סמים ואלכוהול,שכרות,,39,11,6,$,$,$,18,7,$,$,6,10,7,$
