מחוז טריטוריאלי,חודש קבלה,עיר,יום בשבוע,כמות  אירועים
מחוז צפון,4,נצרת,חמישי,1
מחוז צפון,4,נצרת,רביעי,2
מחוז צפון,4,נצרת,שני,1
מחוז צפון,4,נצרת,ראשון,3
מחוז צפון,4,נצרת,שבת,2
מחוז צפון,4,סאג'ור,שלישי,1
מחוז צפון,4,סח'נין,רביעי,5
מחוז צפון,4,סח'נין,שבת,2
מחוז צפון,4,סלמה,רביעי,1
מחוז צפון,4,סלמה,שני,1
מחוז צפון,4,סלמה,שישי,1
מחוז צפון,4,עיילבון,חמישי,1
מחוז צפון,4,עילוט,רביעי,1
מחוז צפון,4,עמוקה,רביעי,1
מחוז צפון,4,עפולה,חמישי,16
מחוז צפון,4,עפולה,רביעי,11
מחוז צפון,4,עפולה,שלישי,9
מחוז צפון,4,עפולה,שני,5
מחוז צפון,4,עפולה,ראשון,10
מחוז צפון,4,עפולה,שבת,13
מחוז צפון,4,עפולה,שישי,9
מחוז צפון,4,עראבה,ראשון,1
מחוז צפון,4,עראבה,שבת,1
מחוז צפון,4,עראבה,שישי,3
מחוז צפון,4,צנדלה,חמישי,1
מחוז צפון,4,צפת,חמישי,2
מחוז צפון,4,צפת,רביעי,5
מחוז צפון,4,צפת,שלישי,2
מחוז צפון,4,צפת,שני,2
מחוז צפון,4,צפת,ראשון,5
מחוז צפון,4,צפת,שבת,2
מחוז צפון,4,צפת,שישי,3
מחוז צפון,4,קדמת צבי,שני,1
מחוז צפון,4,קלע,שישי,1
מחוז צפון,4,קצרין,חמישי,1
מחוז צפון,4,קצרין,רביעי,3
מחוז צפון,4,קרית שמונה,חמישי,1
מחוז צפון,4,קרית שמונה,רביעי,3
מחוז צפון,4,קרית שמונה,שלישי,2
מחוז צפון,4,קרית שמונה,שני,4
מחוז צפון,4,קרית שמונה,ראשון,3
מחוז צפון,4,קרית שמונה,שבת,6
מחוז צפון,4,קרית שמונה,שישי,4
מחוז צפון,4,ראמה,רביעי,1
מחוז צפון,4,ראמה,ראשון,1
מחוז צפון,4,ריינה,שלישי,2
מחוז צפון,4,ריינה,שבת,1
מחוז צפון,4,רמת ישי,חמישי,1
מחוז צפון,4,רמת ישי,ראשון,1
מחוז צפון,4,שבלי,שני,1
מחוז צפון,4,שדה יעקב,שישי,1
מחוז צפון,4,שדמות דבורה,שני,1
מחוז צפון,4,שורשים,שבת,1
מחוז צפון,4,שמשית,שבת,1
מחוז צפון,4,שעב,שלישי,1
מחוז צפון,4,שפר,ראשון,1
מחוז צפון,4,שפרעם,חמישי,1
מחוז צפון,4,שפרעם,רביעי,5
מחוז צפון,4,שפרעם,שני,1
מחוז צפון,4,שפרעם,שבת,1
מחוז צפון,4,שפרעם,שישי,1
מחוז צפון,4,תל קציר,רביעי,1
מחוז צפון,4,Total,,460
מחוז צפון,Total,,,604
מחוז מרכז,3,אבן יהודה,שני,1
מחוז מרכז,3,אלעד,שלישי,1
מחוז מרכז,3,אלעד,ראשון,1
מחוז מרכז,3,אלעד,שבת,1
מחוז מרכז,3,אלעד,שישי,1
מחוז מרכז,3,באר יעקב,ראשון,1
